European and International Business Law LL.M. (part-time),Eötvös Loránd University,"Budapest, Hungary"
Event and Experience Design - MA,University of Kent,"Medway, England"
International and European Taxation Program for Economists (part-time),Eötvös Loránd University,"Budapest, Hungary"
"International Relations with International Law - PDip, MA",University of Kent,"Canterbury, England"
Landscape Architecture,Estonian University of Life Sciences,"Tartu, Estonia"
"Law (Human Rights Law) - LLM, PDip",University of Kent,"Canterbury, England"
MA Biodesign,University of the Arts London,"London, England"
MA Fashion Futures,University of the Arts London,"London, England"
MA Graphic Branding and Identity,University of the Arts London,"London, England"
MA in Business and management with Integrated Placement,Bath Spa University,"Bath, England"
MA in Tourism Management,University of Pannonia,"Veszprém, Hungary"
MA Interaction Design,University of the Arts London,"London, England"
MBA - Digital Business,EU Business School Barcelona,"Barcelona, Spain"
MBA - Global Banking & Finance,EU Business School Barcelona,"Barcelona, Spain"
MSc Clinical and Psychosocial Epidemiology,University of Groningen,"Groningen, Netherlands"
MSc Epidemiology,London School of Hygiene and Tropical Medicine,"London, England"
MSc Global Mental Health,London School of Hygiene and Tropical Medicine,"London, England"
MSc in Clinical Trials,London School of Hygiene and Tropical Medicine,"London, England"
MSc in Computer Science Engineering,University of Pannonia,"Veszprém, Hungary"
MSc in Environmental Sciences,University of Pannonia,"Veszprém, Hungary"
Physical Acting - MA,University of Kent,"Canterbury, England"
Psychology MA,University of Limerick,"Limerick, Ireland"
Wales (Research),Cardiff University,"Cardiff, Wales"
Psychiatry (Taught),Cardiff University,"Cardiff, Wales"
MSc in Economics and Business Administration – Business Intelligence,Aarhus University,"Aarhus, Denmark"
MSc Engineers for Smart Cities,Université Côte d'Azur,"Nice, France"
Big Data and Business Analytics,Structuralia,"Alcobendas, Spain"
MA in Big Data in Culture and Society,King's College London,"London, England"
"MA International Retail Business, Sustainability & Technologies","Goldsmiths, University of London","London, England"
MSc Investment & Wealth Management,Imperial College Business School,"London, England"
Advanced Healthcare Practice,Cardiff University,"Cardiff, Wales"
"Anthropology, Art and Perception MRes",University of St Andrews,"St Andrews, Scotland"
"Chemical Engineering MPhil, PhD",Newcastle University,"Newcastle upon Tyne, England"
Chinese Cultural Studies Pathway - Modern Languages MLitt,University of St Andrews,"St Andrews, Scotland"
Data Science (PGCert/PGDip/MSc) - online,University of St Andrews,"St Andrews, Scotland"
History MA,Newcastle University,"Newcastle upon Tyne, England"
Human Resource Management MA/PG Dip (Online),De Montfort University,"Leicester, England"
Intellectual History MLitt,University of St Andrews,"St Andrews, Scotland"
Intelligence and Security Studies (Taught),Lloyd's Maritime Academy,"London, England"
Italian Studies Pathway - Modern Languages MLitt,University of St Andrews,"St Andrews, Scotland"
LLM (Constitutional and Administrative Law) (Coursework),University of Pretoria - Faculty of Law,"Pretoria, South Africa"
LLM (Corporate Law) (Coursework),University of Pretoria - Faculty of Law,"Pretoria, South Africa"
LLM (Intellectual Property Law) (Coursework),University of Pretoria - Faculty of Law,"Pretoria, South Africa"
M.Sc. in Chemistry,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MA Acting,ArtsEd,"London, England"
MA Development and Human Rights,Swansea University,"Swansea, Wales"
MA in Cultural and Creative Industries,King's College London,"London, England"
MA Teaching English to Speakers of Other Languages (TESOL),Swansea University,"Swansea, Wales"
Management,Vilnius University,"Šiauliai, Lithuania"
MSc by Research Geography,University of Lincoln,"Lincoln, England"
Msc Digital Transformation & Business Consulting,Montpellier Business School,"Montpellier, France"
MSc Ecology and the Environment,Linköping University,"Linköping, Sweden"
MSc in Aeronautical Engineering,Politecnico di Milano,"Milan, Italy"
MSc in Electronic and Electrical Engineering with Industry,Swansea University,"Swansea, Wales"
Msc in Sports & Tourism Management (Campus),Rennes School of Business,"Rennes, France"
Msc International Business,Montpellier Business School,"Montpellier, France"
MSc Power Engineering and Sustainable Energy,Swansea University,"Swansea, Wales"
Postgraduate Certificate in Education (PGCE),University of Gibraltar,"Gibraltar, United Kingdom"
"Posture, Seating and Wheelchair Mobility Across the Life Course -Postgraduate Certificate",University of Limerick,"Limerick, Ireland"
"Road Construction, Maintenance and Operation",Structuralia,"Alcobendas, Spain"
Russian Studies Pathway - Modern Languages MLitt,University of St Andrews,"St Andrews, Scotland"
Social Work (Taught),The Open University,"Buckinghamshire, England"
MSc Logistics and Global Operations,University of Lincoln,"Lincoln, England"
Big Data and Business Analytics,Structuralia,"Alcobendas, Spain"
MA in Big Data in Culture and Society,King's College London,"London, England"
"MA International Retail Business, Sustainability & Technologies","Goldsmiths, University of London","London, England"
MSc Investment & Wealth Management,Imperial College Business School,"London, England"
Nature and Travel Writing MA,Bath Spa University,"Bath, England"
Energy Engineering MSc,De Montfort University,"Leicester, England"
Natural Systems Management,Vilnius University,"Šiauliai, Lithuania"
"Online MSc Procurement, Logistics and Supply Chain Management",Robert Kennedy College,"Zurich, Switzerland"
MSc in Mathematics – Economics,Aarhus University,"Aarhus, Denmark"
MSc Quantity Surveying,University of Portsmouth,"Portsmouth, England"
Data Science and Statistical Learning MSc,University of Limerick,"Limerick, Ireland"
Doctor of Veterinary Medicine,Wroclaw University of Environmental and Life Sciences,"Wroclaw, Poland"
Mechatronics MSc,De Montfort University,"Leicester, England"
MSc in Interior and Spatial Design,University of Pécs,"Pécs, Hungary"
Online MSc Global Management,Robert Kennedy College,"Zurich, Switzerland"
MSc Risk Management & Financial Engineering,Imperial College Business School,"London, England"
International Public Relations and Global Communications Management (Taught),Cardiff University,"Cardiff, Wales"
MA in Peace Studies,The American University of Rome,"Rome, Italy"
MSc Digital Marketing & Data Analytics,Grenoble Ecole de Management,Multiple (2)
MSc Aeronautical Engineering,Linköping University,"Linköping, Sweden"
Occupational Health (Policy and Practice) (Taught),Cardiff University,"Cardiff, Wales"
"Strength, Conditioning and Performance MSc",University College Birmingham,"Birmingham, England"
Nursing (Older Person) MSc,University of Limerick,"Limerick, Ireland"
Psychology,Cardiff University,"Cardiff, Wales"
Aerospace Engineering MSc,University of Applied Sciences Wiener Neustadt,"Wiener Neustadt, Austria"
Animal Behaviour MSc,University of St Andrews,"St Andrews, Scotland"
Bible and the Contemporary World (MLitt),University of St Andrews,"St Andrews, Scotland"
Business Administration,Cardiff University,"Cardiff, Wales"
"Civil Engineering, MSc",Swansea University,"Swansea, Wales"
Energy Efficiency and Renewable Energies (Spanish),Structuralia,"Alcobendas, Spain"
English Language MA,De Montfort University,"Leicester, England"
English MA,De Montfort University,"Leicester, England"
Exercise Physiology MSc,Newcastle University,"Newcastle upon Tyne, England"
Gaeilge MA,University of Limerick,"Limerick, Ireland"
Gender Studies MLitt,University of St Andrews,"St Andrews, Scotland"
General Medicine in German (Allgemeine Humanmedizin),University of Pécs,"Pécs, Hungary"
"Global Public Health MSc, PGDip",Newcastle University,"Newcastle upon Tyne, England"
Infection Prevention and Control Leadership MSc,University of Limerick,"Limerick, Ireland"
International Political Theory MLitt,University of St Andrews,"St Andrews, Scotland"
Legal Foundations LLM,Bath Spa University,"Bath, England"
LLM (International Humanitarian Law and Human Rights in Military Operations) (Coursework),University of Pretoria - Faculty of Law,"Pretoria, South Africa"
"LLM Oil, Gas and Renewable Energy Law",Swansea University,"Swansea, Wales"
M.A. in Israel Studies,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MA (Diplomatic Studies) (Coursework),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MA / MSc Digital Journalism,"Goldsmiths, University of London","London, England"
MA by Research Art,University of Lincoln,"Lincoln, England"
MA Fine Art,University of Lincoln,"Lincoln, England"
MA in Arts and Cultural Management,King's College London,"London, England"
MA Journalism: Arts and Lifestyle Journalism,University of the Arts London,"London, England"
Medicinal Chemistry (F62) (Taught),The Open University,"Buckinghamshire, England"
Medieval English MLitt,University of St Andrews,"St Andrews, Scotland"
Msc Entrepreneurship & Innovative Business Models,Montpellier Business School,"Montpellier, France"
MSc in Agrobiology,Aarhus University,"Aarhus, Denmark"
MSc in Civil Engineering for Risk Mitigation,Politecnico di Milano,"Lecco, Italy"
MSc in Electrical Engineering,Aarhus University,"Aarhus, Denmark"
MSc in Finance (Corporate Finance),King's College London,"London, England"
MSc in Mathematical Engineering,Politecnico di Milano,"Milan, Italy"
MSc in Mathematics,The Open University,"Buckinghamshire, England"
MSc in Psychology: Legal and Criminological,University of Cumbria,"Carlisle, England"
MSc International Finance,EMLV Business School,"Courbevoie, France"
Msc Luxury Marketing in a Sustainable World,Montpellier Business School,"Montpellier, France"
"MSc Sport Business, Management & Policy",Manchester Metropolitan University,"Manchester, England"
MSocSci (Sociology) (Coursework),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MSPH in International Health (Global Disease Epidemilogy and Control),"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
OTM in Painting,University of Pécs,"Pécs, Hungary"
Spanish and Latin American Studies Pathway - Modern Languages MLitt,University of St Andrews,"St Andrews, Scotland"
Sustainable Aquaculture (MSc),University of St Andrews,"St Andrews, Scotland"
Technical Safety (2 Years),University of Ljubljana,"Ljubljana, Slovenia"
Technology Management (F69) (Taught),The Open University,"Buckinghamshire, England"
"Transnational, Global and Spatial History MLitt",University of St Andrews,"St Andrews, Scotland"
Advanced and Specialist Healthcare (Advanced Dental Clinical Practice) - MSc,University of Kent,"Medway, England"
Architecture (Professional Studies) (Taught),Cardiff University,"Cardiff, Wales"
"Autism Studies - PCert, PDip, MA",University of Kent,"Canterbury, England"
"Autism Studies (Distance Learning) - PCert, PDip, MA",University of Kent,"Canterbury, England"
Business and Management MA,Bath Spa University,"Bath, England"
Chemistry MSc,Eötvös Loránd University,"Budapest, Hungary"
Colonial and Postcolonial Studies,Linnaeus University,"Växjö, Sweden"
Computer Science for Autonomous Systems MSc,Eötvös Loránd University,"Budapest, Hungary"
Environmental Design of Buildings (Taught),Cardiff University,"Cardiff, Wales"
Ethnobotany - MSc,University of Kent,"Canterbury, England"
EU External Relations - MA,University of Kent,"Brussels, Belgium"
International and European Law,Vilnius University,"Vilnius, Lithuania"
International Commercial Law (Taught),Cardiff University,"Cardiff, Wales"
MA Design for Art Direction,University of the Arts London,"London, England"
MA Graphic Communication Design,University of the Arts London,"London, England"
MA in Business and Management (Entrepreneurship),Bath Spa University,"Bath, England"
MA in Business and Management (Marketing),Bath Spa University,"Bath, England"
MA in Heritage Management,Bath Spa University,"Bath, England"
MA in Scriptwriting,Bath Spa University,"Bath, England"
MA in Teaching English to Speakers of Other Languages (TESOL),Bath Spa University,"Bath, England"
MA Media Creation and Innovation,University of Groningen,"Groningen, Netherlands"
Magazine Journalism (Taught),Cardiff University,"Cardiff, Wales"
Medicinal Chemistry (Taught),Cardiff University,"Cardiff, Wales"
MSc Creative Computing,University of the Arts London,"London, England"
MSc in Environmental Management,Bath Spa University,"Bath, England"
MSc in Finance,emlyon business school,"Lyon, France"
"Philanthropic Studies (Distance Learning) - PCert, PDip, MA",University of Kent,"Canterbury, England"
Politics and International Relations (Research),Cardiff University,"Cardiff, Wales"
Social and Applied Psychology - MSc,University of Kent,"Canterbury, England"
Social Work (Postgraduate Entry),Cardiff University,"Cardiff, Wales"
Social Work (Taught),Cardiff University,"Cardiff, Wales"
Statistical Data Science - MSc,University of Kent,"Canterbury, England"
Theoretical and Computational Chemistry (Research),Cardiff University,"Cardiff, Wales"
International Relations MA,Eötvös Loránd University,"Budapest, Hungary"
Civil Engineering (Taught),Cardiff University,"Cardiff, Wales"
Computing and IT Management (Taught),Cardiff University,"Cardiff, Wales"
Genetic and Genomic Counselling (Taught),Cardiff University,"Cardiff, Wales"
Business Strategy and Entrepreneurship (Taught),Cardiff University,"Cardiff, Wales"
Msc Digital Marketing & Omnichannel Strategy,Montpellier Business School,"Montpellier, France"
MSc International Human Resource Management in the Digital Age,Grenoble Ecole de Management,"Grenoble, France"
MA Journalism (Arts),University of Lincoln,"Lincoln, England"
Advanced Networking (F56) (Taught),The Open University,"Buckinghamshire, England"
Bioanalytical Chemistry and Pharmaceutical Analysis (M.Sc.),Hochschule Fresenius - University of Applied Sciences,"Idstein, Germany"
Bioanalytical Chemistry and Pharmaceutical Analysis (M.Sc.) - Part Time,Hochschule Fresenius - University of Applied Sciences,"Idstein, Germany"
"Biotechnology (Biological, Agricultural and Environmental Sciences) MPhil, PhD",Newcastle University,"Newcastle upon Tyne, England"
"Chemical Engineering, Msc",Swansea University,"Swansea, Wales"
Comparative Literature MLitt,University of St Andrews,"St Andrews, Scotland"
DDM Sustainability and Environmental Psychology,University of Groningen,"Groningen, Netherlands"
Global Social and Political Thought MLitt,University of St Andrews,"St Andrews, Scotland"
Iranian Studies MLitt,University of St Andrews,"St Andrews, Scotland"
"LLM (International Air, Space and Telecommunications Law) (Coursework)",University of Pretoria - Faculty of Law,"Pretoria, South Africa"
MA (African Languages) (Coursework),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MA (Ancient Languages and Cultures Studies),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MA Design,University of Lincoln,"Lincoln, England"
MA in Ceramic Design,University of Pécs,"Pécs, Hungary"
MA in Circular Economy Management,University of Pannonia,"Nagykanizsa, Hungary"
MA in Creative Writing,Swansea University,"Swansea, Wales"
MA Journalism: Social Justice Journalism,University of the Arts London,"London, England"
Management and Governance,University of Siena,"Siena, Italy"
Marketing,Cardiff University,"Cardiff, Wales"
MBA in International Business Development,IPAG Business School,"Paris, France"
Middle Eastern Literary and Cultural Studies Pathway - Modern Languages MLitt,University of St Andrews,"St Andrews, Scotland"
MSc Business Development,Grenoble Ecole de Management,"Grenoble, France"
MSc Computer Science By Research,University of Lincoln,"Lincoln, England"
MSc in Civil and Architectural Engineering,Aarhus University,"Aarhus, Denmark"
MSc in Economics and Business Administration – Business-to-Business Marketing and Purchasing,Aarhus University,"Aarhus, Denmark"
MSc International Tourism & Hospitality Management,Manchester Metropolitan University,"Manchester, England"
MSc Marketing,University of Lincoln,"Lincoln, England"
MSc Structural Engineering,Swansea University,"Swansea, Wales"
Msc Supply Chain Management,Montpellier Business School,"Montpellier, France"
MSc Sustainability Engineering and Management,Linköping University,"Linköping, Sweden"
MSocSci (Industrial Sociology and Labour Studies) (Coursework),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MSW Social Work,University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
Neuroscience MRes,University of St Andrews,"St Andrews, Scotland"
Peacebuilding and Mediation MPhil,University of St Andrews,"St Andrews, Scotland"
PGDip in Political Communications,"Goldsmiths, University of London","London, England"
Primary and Early Years (Part Time) PGCert,Bath Spa University,"Bath, England"
Primary and Early Years PGCert,Bath Spa University,"Bath, England"
Professional Practice in Higher Education MA,Bath Spa University,"Bath, England"
Self-Paced Online Course (SPOC): Designed for working professionals,Data ScienceTech Institute,"Paris, France"
Social Anthropology - Humanitarian and Environmental Crises - MA,University of Kent,"Canterbury, England"
Social work,Vilnius University,"Šiauliai, Lithuania"
Sustainable Aquaculture (Modular Course),University of St Andrews,"St Andrews, Scotland"
Sustainable Electricity Generation,Structuralia,"Alcobendas, Spain"
Translation (Taught),The Open University,"Buckinghamshire, England"
MA in English,The Open University,"Buckinghamshire, England"
MA Journalism (War and International Human Rights),University of Lincoln,"Lincoln, England"
Online MSc International Management,The University of Birmingham Online,"Birmingham, England"
Animation MA in English | Immersive Storytelling,Moholy-Nagy University of Art and Design,"Budapest, Hungary"
Business and Management (Accounting) MA,Bath Spa University,"Bath, England"
Composition (Research),Cardiff University,"Cardiff, Wales"
Creative Writing MA,Bath Spa University,"Bath, England"
Business and Management (Accounting) MA,Bath Spa University,"Bath, England"
Composition (Research),Cardiff University,"Cardiff, Wales"
Creative Writing MA,Bath Spa University,"Bath, England"
Engineering (Energy and Environment) (Research),Cardiff University,"Cardiff, Wales"
European Politics and Area Studies (Research),Cardiff University,"Cardiff, Wales"
Global Cultures (MA),Cardiff University,"Cardiff, Wales"
Human Resource Management (Taught),Cardiff University,"Cardiff, Wales"
"Law (International Law with International Relations) - LLM, PDip",University of Kent,"Canterbury, England"
Law (Taught),Cardiff University,"Cardiff, Wales"
MA Character Animation,University of the Arts London,"London, England"
MA Fine Art,University of the Arts London,"London, England"
"MA Media, Communications and Critical Practice",University of the Arts London,"London, England"
MA Performance: Design and Practice,University of the Arts London,"London, England"
MA Social Media and Society,University of Groningen,"Groningen, Netherlands"
Machine Learning for Finance MSc,University of Limerick,"Limerick, Ireland"
MSc Computing Science,University of Groningen,"Groningen, Netherlands"
MSc Human Resource Management,University of Groningen,"Groningen, Netherlands"
MSc in Environmental Engineering,University of Pannonia,"Veszprém, Hungary"
MSc in Health in Humanitarian Crises,London School of Hygiene and Tropical Medicine,"London, England"
MSc in Supply Chain & Purchasing Management,emlyon business school,"Ecully, France"
Operational Research and Applied Statistics (Taught),Cardiff University,"Cardiff, Wales"
"Operational Research, Applied Statistics and Financial Risk (Taught)",Cardiff University,"Cardiff, Wales"
Pain Management (Taught),Cardiff University,"Cardiff, Wales"
Peace and Conflict Studies (International Joint Award) - MA,University of Kent,Multiple (2)
Political Psychology - MSc,University of Kent,"Canterbury, England"
Pure Mathematics (Research),Cardiff University,"Cardiff, Wales"
Religious and Theological Studies (Research),Cardiff University,"Cardiff, Wales"
Urban Design (Taught),Cardiff University,"Cardiff, Wales"
Welsh Government and Politics (Taught),Cardiff University,"Cardiff, Wales"
Wireless and Microwave Communication Engineering (Taught),Cardiff University,"Cardiff, Wales"
MA Global Political Economy,"Goldsmiths, University of London","London, England"
MA in Digital Culture and Society,King's College London,"London, England"
Applied Sports Coaching MSc,University of Limerick,"Limerick, Ireland"
Legal Aspects of Medical Practice (Taught),Cardiff University,"Cardiff, Wales"
MSc Veterinary Epidemiology,London School of Hygiene and Tropical Medicine,"London, England"
Applied Physics MSc- Government Stimulus,University of Limerick,"Limerick, Ireland"
Business Analytics,University of Oulu,"Oulu, Finland"
MSc Developmental Psychology,University of Lincoln,"Lincoln, England"
MSc Management,UCL School of Management,"London, England"
M.Sc. in Industrial Engineering and Management,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MSc Real Estate Management,University of Portsmouth,"Portsmouth, England"
Clinical Psychology,"California State University, Dominguez Hills","Carson, United States of America"
"Law, Human Rights in Criminal Justice LLM/MA (Online)",University of Limerick,"Limerick, Ireland"
M.Sc. in Biotechnology Engineering,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MA in Digital Humanities,King's College London,"London, England"
MSc Speech and Language Therapy (Pre-registration),Manchester Metropolitan University,"Manchester, England"
MA Photojournalism and Documentary Photography (Part Time/ Online Mode),University of the Arts London,"London, England"
MSc Health Data Science,London School of Hygiene and Tropical Medicine,"London, England"
Sustainable Energy and Environment (Taught),Cardiff University,"Cardiff, Wales"
Transport and Planning (Taught),Cardiff University,"Cardiff, Wales"
Artificial Intelligence MSc,University of St Andrews,"St Andrews, Scotland"
Biblical Languages and Literature MLitt,University of St Andrews,"St Andrews, Scotland"
"BIM Management. Revit, Navisworks, Vico, Cost-it, Civil 3d",Structuralia,"Alcobendas, Spain"
Cloud Computing MSc,Newcastle University,"Newcastle upon Tyne, England"
Compound Semiconductor Electronics,Cardiff University,"Cardiff, Wales"
Creative Writing (F71) (Taught),The Open University,"Buckinghamshire, England"
Global Ecology and Conservation,Cardiff University,"Cardiff, Wales"
History (F28) (Taught),The Open University,"Buckinghamshire, England"
Information Technology MSc,University of St Andrews,"St Andrews, Scotland"
LLM Human Rights,Swansea University,"Swansea, Wales"
LLM Procedural Law (Coursework),University of Pretoria - Faculty of Law,"Pretoria, South Africa"
M.Sc. in Structural and Civil Engineering,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
MA (Clinical Psychology) (Coursework),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MA Applied Criminal Justice & Criminology,Swansea University,"Swansea, Wales"
MA in Cyber Crime and Terrorism,Swansea University,"Swansea, Wales"
MA in Education in Arts and Cultural Settings,King's College London,"London, England"
MA in Global Media Industries,King's College London,"London, England"
MA in Marine Science & Climate Change,University of Gibraltar,"Gibraltar, United Kingdom"
MA in Teaching English to Speakers of Other Languages (TESOL),King's College London,"London, England"
MA Music Production,University of the Arts London,"London, England"
MA Performance: Politics and Social Justice,University of the Arts London,"London, England"
Marine Ecosystem Management MSc,University of St Andrews,"St Andrews, Scotland"
Mental Health Science (Taught),The Open University,"Buckinghamshire, England"
MSc in Chemistry,Aarhus University,"Aarhus, Denmark"
MSc in Digital Economy,King's College London,"London, England"
MSc in Finance (Asset Pricing),King's College London,"London, England"
MSc in High-End Brand Management,emlyon business school,"Shanghai, China"
MSc in Medicinal Chemistry,Aarhus University,"Aarhus, Denmark"
MSc International Investment Banking,University of Lincoln,"Lincoln, England"
Occupational Therapy (M.S.),Husson University,"Bangor, United States of America"
PGCert in Political Communications,"Goldsmiths, University of London","London, England"
Systems Thinking in Practice (F47) (Taught),The Open University,"Buckinghamshire, England"
Sports Performance MSc,University of Limerick,"Limerick, Ireland"
Physics MS,South Dakota School of Mines & Technology,"Rapid City, United States of America"
"PGCert in Promotional Media: Public Relations, Advertising and Marketing","Goldsmiths, University of London","London, England"
Suffolk Executive MBA,University of Suffolk,"Ipswich, England"
Architecture (Research),Cardiff University,"Cardiff, Wales"
Civil and Geoenvironmental Engineering (Taught),Cardiff University,"Cardiff, Wales"
"Engineering (Mechanics, Materials, and Advanced Manufacturing) (Research)",Cardiff University,"Cardiff, Wales"
English Literature (Research),Cardiff University,"Cardiff, Wales"
"International Economics, Banking and Finance (Taught)",Cardiff University,"Cardiff, Wales"
Language and Communication Research (Taught),Cardiff University,"Cardiff, Wales"
M ARCH: Architecture,University of the Arts London,"London, England"
MA Design Management,University of the Arts London,"London, England"
MA Film,University of the Arts London,"London, England"
MA Material Futures,University of the Arts London,"London, England"
"MA Religion and Pluralism, Ancient & Modern",University of Groningen,"Groningen, Netherlands"
MSc Cultural and Creative Industries,NEOMA Business School,"Rouen, France"
MSc International Financial Management,University of Groningen,"Groningen, Netherlands"
MSc International Project Development,NEOMA Business School,"Rouen, France"
"MSc One Health: Ecosystems, Humans and Animals",London School of Hygiene and Tropical Medicine,"London, England"
Physics,Cardiff University,"Cardiff, Wales"
Physics with Astronomy,Cardiff University,"Cardiff, Wales"
Politics and Public Policy (Taught),Cardiff University,"Cardiff, Wales"
Public Leadership (Taught),Cardiff University,"Cardiff, Wales"
Advanced Clinical Practice,Cardiff University,"Cardiff, Wales"
Advancing Healthcare Practice (F52) (Taught),The Open University,"Buckinghamshire, England"
"Aerospace Engineering, MSc",Swansea University,"Swansea, Wales"
Art History MLitt,University of St Andrews,"St Andrews, Scotland"
Bible and the Contemporary World MLitt,University of St Andrews,"St Andrews, Scotland"
Business Management with a Professional Placement Year,Cardiff University,"Cardiff, Wales"
Clinical Pharmacy MSc,De Montfort University,"Leicester, England"
Creative Writing MLitt,University of St Andrews,"St Andrews, Scotland"
Design (Illustration) MA,Bath Spa University,"Bath, England"
Development Management (F11) (Taught),The Open University,"Buckinghamshire, England"
Environment and Development,Cardiff University,"Cardiff, Wales"
Fine Art (Ceramics) MA,Bath Spa University,"Bath, England"
Fine Art (Photography) MA,Bath Spa University,"Bath, England"
History and Philosophy,University of Siena,"Siena, Italy"
International Digital Health Transformation MSc,University of Limerick,"Limerick, Ireland"
LLM International Maritime Law,Swansea University,"Swansea, Wales"
M.Sc. in Environmental Physics and Solar Energy,Ben-Gurion University of the Negev,"Be'er Sheva, Israel"
M.Sc. in International Management,Kühne Logistics University,"Hamburg, Germany"
MA Cultural Heritage Management,University of Lincoln,"Lincoln, England"
MA Fine Art,University of the Arts London,"London, England"
MA in Classical Singing,University of Pécs,"Pécs, Hungary"
MA in Design and Development Engineering for a Circular Economy,University of Pannonia,"Nagykanizsa, Hungary"
MA in Leadership and Management,University of Gibraltar,"Gibraltar, United Kingdom"
MA in Outdoor and Experiential Learning (Pathways),University of Cumbria,"Cumbria, England"
MA in Philosophy,The Open University,"Buckinghamshire, England"
MA in Social Work,University of Pécs,"Pécs, Hungary"
Marketing and Brand Management MA,Bath Spa University,"Bath, England"
Mathematical Biology MSc,University of St Andrews,"St Andrews, Scotland"
MPhil,University of Pretoria - Faculty of Law,"Pretoria, South Africa"
MSc by Research Nanomaterials Science,University of Lincoln,"Lincoln, England"
MSc High Performance Computing Engineering,Politecnico di Milano,"Milan, Italy"
MSc in Economics and Business Administration – International Business Development,Aarhus University,"Herning, Denmark"
MSc in Sustainable Architecture and Landscape Design,Politecnico di Milano,"Piacenza, Italy"
MSc Sustainable Tourism & Society,University of Groningen,"Leeuwarden, Netherlands"
MSocSci (Gender Studies) (Coursework),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MSPH in Health Policy and Management (Health Policy),"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
Music (F32) (Taught),The Open University,"Buckinghamshire, England"
Online and Distance Education (F10) (Taught),The Open University,"Buckinghamshire, England"
Risk Management MSc,De Montfort University,"Leicester, England"
Romantic and Victorian Studies MLitt,University of St Andrews,"St Andrews, Scotland"
Social Anthropology MRes,University of St Andrews,"St Andrews, Scotland"
Software Engineering MSc,University of St Andrews,"St Andrews, Scotland"
"Women, Writing and Gender MLitt",University of St Andrews,"St Andrews, Scotland"
Suffolk Executive MBA,University of Suffolk,"Ipswich, England"
Animation MA in English | Animation Direction,Moholy-Nagy University of Art and Design,"Budapest, Hungary"
Economics and Finance MSc,De Montfort University,"Leicester, England"
Global Human Resource Management MSc,Newcastle University,"Newcastle upon Tyne, England"
"MSc Econometrics, Operations Research and Actuarial Studies",University of Groningen,"Groningen, Netherlands"
Archaeology MA,Eötvös Loránd University,"Budapest, Hungary"
MSc in International Management – MIEX,ICN Business School,"Nancy, France"
Water in a Changing World,Cardiff University,"Cardiff, Wales"
"MA Human Rights, Culture & Social Justice","Goldsmiths, University of London","London, England"
MA Music (Musicology),"Goldsmiths, University of London","London, England"
MSc in Economics and Business Administration – Marketing,Aarhus University,"Aarhus, Denmark"
MSc International Business Development,NEOMA Business School,"Rouen, France"
MMedVet Cattle Herd Health,University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
Online MSc Marketing,Robert Kennedy College,"Zurich, Switzerland"
MA Visual Anthropology,"Goldsmiths, University of London","London, England"
English Language Teaching MA,De Montfort University,"Leicester, England"
MSc Health Psychology,University of Portsmouth,"Portsmouth, England"
Pharmacy (PharmD),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Art History (F33) (Taught),The Open University,"Buckinghamshire, England"
Biosciences (MPhil),Cardiff University,"Cardiff, Wales"
Childhood and Youth (F55) (Taught),The Open University,"Buckinghamshire, England"
Classical Studies (F27) (Taught),The Open University,"Buckinghamshire, England"
Clinical Dentistry (Endodontology),Cardiff University,"Cardiff, Wales"
Clinical Dentistry (Prosthodontics),Cardiff University,"Cardiff, Wales"
Computer Science MSc,University of St Andrews,"St Andrews, Scotland"
Cultural and Creative Industries,Cardiff University,"Cardiff, Wales"
Cyber Security MSc,Bath Spa University,"Bath, England"
Data Intensive Physics,Cardiff University,"Cardiff, Wales"
Design MA in English | Strategic Product Innovation,Moholy-Nagy University of Art and Design,"Budapest, Hungary"
Education (F70) (Taught),The Open University,"Buckinghamshire, England"
Electrical Engineering - Advanced Power Systems (2 Years),University of Ljubljana,"Ljubljana, Slovenia"
Engineering (F46) (Taught),The Open University,"Buckinghamshire, England"
English (F58) (Taught),The Open University,"Buckinghamshire, England"
Environmental Design of Buildings,Cardiff University,"Cardiff, Wales"
Film Studies MLitt,Newcastle University,"Newcastle upon Tyne, England"
History,Cardiff University,"Cardiff, Wales"
History of Photography MLitt,University of St Andrews,"St Andrews, Scotland"
Information Technology with Management MSc,University of St Andrews,"St Andrews, Scotland"
